Time,Sensor,x,y,z
5.693,LAnk,0.093843395,2.020835127,0.162534435
5.701,RHip,1.035540915,23.26294821,0.202983139
5.701,RKne,2.210982659,14.74146758,0.192913386
5.701,RAnk,0.337001376,2.1,0.193729904
5.701,LHip,1.711150845,24.1483871,0.233820459
5.701,LKne,1.23421468,14.82180451,0.169517103
5.701,LAnk,0.09279737,2.021394748,0.155188246
5.71,RHip,1.035540915,23.26294821,0.202983139
5.71,RKne,2.413294798,14.7418942,0.202099738
5.71,RAnk,0.34089867,2.1,0.153536977
5.71,LHip,1.711150845,24.1483871,0.233820459
5.71,LKne,1.23421468,14.82180451,0.169517103
5.71,LAnk,0.09279737,2.021394748,0.155188246
5.72,RHip,0.844833564,24.98406375,0.292477302
5.72,RKne,2.413294798,14.7418942,0.202099738
5.72,RAnk,0.34089867,2.1,0.153536977
5.72,LHip,1.652145644,24.56129032,0.264091858
5.72,LKne,1.23421468,14.82180451,0.169517103
5.72,LAnk,0.09279737,2.021394748,0.155188246
5.728,RHip,0.844833564,24.98406375,0.292477302
5.728,RKne,2.413294798,14.7418942,0.202099738
5.728,RAnk,0.34089867,2.1,0.153536977
5.728,LHip,1.652145644,24.56129032,0.264091858
5.728,LKne,1.032951855,14.79699248,0.187122736
5.728,LAnk,0.094441124,2.021093414,0.15610652
5.737,RHip,0.844833564,24.98406375,0.292477302
5.737,RKne,2.330202312,14.74744027,0.169947507
5.737,RAnk,0.337918386,2.1,0.171221865
5.737,LHip,1.652145644,24.56129032,0.264091858
5.737,LKne,1.032951855,14.79699248,0.187122736
5.737,LAnk,0.094441124,2.021093414,0.15610652
5.746,RHip,0.814320388,23.90039841,0.274967575
5.746,RKne,2.330202312,14.74744027,0.169947507
5.746,RAnk,0.337918386,2.1,0.171221865
5.746,LHip,1.845253576,23.97290323,0.27348643
5.746,LKne,1.032951855,14.79699248,0.187122736
5.746,LAnk,0.094441124,2.021093414,0.15610652
5.754,RHip,0.814320388,23.90039841,0.274967575
5.754,RKne,2.330202312,14.74744027,0.169947507
5.754,RAnk,0.337918386,2.1,0.171221865
5.754,LHip,1.845253576,23.97290323,0.27348643
5.754,LKne,0.944159432,14.83909774,0.210764588
5.754,LAnk,0.093395099,2.019500646,0.177226814
5.764,RHip,0.814320388,23.90039841,0.274967575
5.764,RKne,2.301300578,14.72866894,0.171259843
5.764,RAnk,0.34089867,2.1,0.180868167
5.764,LHip,1.845253576,23.97290323,0.27348643
5.764,LKne,0.944159432,14.83909774,0.210764588
5.764,LAnk,0.093395099,2.019500646,0.177226814
5.772,RHip,0.818134535,23.39043825,0.240596628
5.772,RKne,2.301300578,14.72866894,0.171259843
5.772,RAnk,0.34089867,2.1,0.180868167
